long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
federico dario navarro,2000-03-09,170,69,liga profesional,1,talleres cordoba,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo derecho,no convocado
mauro javier dos santos,1989-07-07,182,79,liga profesional,1,godoy cruz,30,argentina,99,derecha,defensor central,defensor central derecho,no convocado
ivan leonardo colman,1995-05-06,173,68,liga profesional,1,argentinos juniors,8,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",suplente,no convocado
jose santiago rosales,1995-03-22,180,72,liga profesional,1,central cordoba sde,30,argentina,99,derecha,"mediocampista izquierdo, mediocampista derecho, extremo derecho",suplente,no convocado
diego roberto mendoza meabe,1992-09-30,186,86,liga profesional,1,huracan,29,argentina,99,derecha,delantero,suplente,no convocado
matias german nani,1998-03-26,189,85,liga profesional,1,union santa fe,6,argentina,99,izquierda,defensor central,suplente,no convocado
mariano nahuel yeri,1991-09-12,174,81,liga profesional,1,aldosivi,25,argentina,99,derecha,"mediocampista central, lateral derecho, mediocampista derecho",suplente,no convocado
nicolas ariel messiniti,1996-02-21,184,79,liga profesional,1,independiente,19,argentina,99,derecha,delantero,suplente,no convocado
fernando luis bersano,1998-01-03,168,68,liga profesional,1,talleres cordoba,26,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
dario ariel sarmiento,2003-03-29,167,60,liga profesional,1,estudiantes,16,argentina,99,izquierda,"extremo izquierdo, mediocampista derecho, mediocampista izquierdo",suplente,no convocado
daniel alessandro saggiomo mosquera,1998-07-02,167,62,liga profesional,1,argentinos juniors,14,venezuela,99,derecha,"mediocampista ofensivo, extremo derecho, extremo izquierdo",suplente,no convocado
alexis agustin rodriguez,1996-03-21,170,71,liga profesional,1,newell's old boys,14,argentina,99,derecha,"delantero, extremo derecho, mediocampista izquierdo",extremo derecho,no convocado
hugo ismael vera oviedo,1991-01-01,187,75,liga profesional,1,central cordoba sde,24,paraguay,99,derecha,defensor central,suplente,no convocado
agustin sienra,1999-07-14,185,72,liga profesional,1,defensa y justicia,6,argentina,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
matias raul villarreal,1992-01-16,179,76,liga profesional,1,aldosivi,27,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
lucas gabriel di yorio,1996-11-22,190,75,liga profesional,1,aldosivi,17,argentina,99,derecha,"delantero, mediocampista derecho",reserva,no convocado
franco alejandro perinciolo,1997-04-20,184,75,liga profesional,1,aldosivi,18,argentina,99,izquierda,mediocampista central,reserva,no convocado
andres oscar ayala,2000-03-13,169,66,liga profesional,1,estudiantes,25,argentina,99,izquierda,mediocampista defensivo,reserva,no convocado
braian ezequiel maidana talavera,1999-07-22,163,63,liga profesional,1,huracan,16,argentina,99,derecha,mediocampista derecho,reserva,no convocado
juan roman pucheta,2002-07-11,174,74,liga profesional,1,argentinos juniors,19,argentina,99,derecha,delantero,reserva,no convocado
antonio napolitano,1999-02-01,180,75,liga profesional,1,gimnasia la plata,31,argentina,99,derecha,mediocampista ofensivo,suplente,no convocado
walter agustin pastorelli,1997-09-09,175,71,liga profesional,1,patronato,25,argentina,99,izquierda,mediocampista izquierdo,reserva,no convocado
israel enoc escalante,1999-01-09,174,63,liga profesional,1,boca juniors,39,argentina,99,izquierda,"extremo izquierdo, extremo derecho",reserva,no convocado
leandro mamut,2003-12-31,178,69,liga profesional,1,gimnasia la plata,34,argentina,99,derecha,mediocampista central,suplente,no convocado
lucas calderon,1998-06-30,175,70,liga profesional,1,gimnasia la plata,29,argentina,99,derecha,"delantero, extremo derecho",reserva,no convocado
mateo komar,1998-04-07,187,79,liga profesional,1,patronato,42,argentina,99,derecha,defensor central,reserva,no convocado
tomas agustin fernandez,1998-05-05,187,75,liga profesional,1,gimnasia la plata,28,argentina,99,izquierda,defensor central,reserva,no convocado
mateo carabajal,1997-02-21,184,74,liga profesional,1,arsenal de sarandi,14,argentina,99,derecha,"defensor central, lateral derecho, mediocampista defensivo",defensor central derecho,no convocado
fernando nicolas meza,1990-03-21,176,74,liga profesional,1,defensa y justicia,5,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
mauro alberto diaz,1991-03-10,170,62,liga profesional,1,estudiantes,10,argentina,99,derecha,"mediocampista ofensivo, extremo izquierdo",suplente,no convocado
nicolas gaston navarro,1985-03-25,191,87,liga profesional,1,arsenal de sarandi,1,argentina,99,derecha,arquero,suplente,no convocado
marcelo alfonso diaz rojas,1986-12-30,167,68,liga profesional,1,racing club,21,chile,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
lorenzo antonio melgarejo sanabria,1990-08-10,177,75,liga profesional,1,racing club,35,paraguay,99,izquierda,"mediocampista izquierdo, delantero, lateral izquierdo",suplente,no convocado
renato civelli,1983-10-14,193,89,liga profesional,1,huracan,2,argentina,99,derecha,defensor central,suplente,no convocado
santiago juan gentiletti selak,1985-01-09,182,77,liga profesional,1,newell's old boys,6,argentina,99,izquierda,defensor central,suplente,no convocado
adrian arregui,1992-08-12,175,74,liga profesional,1,independiente,28,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
joan mazzaco,2000-04-25,170,67,liga profesional,1,rosario central,13,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
victor ezequiel salazar,1993-05-26,175,67,liga profesional,1,san lorenzo,29,argentina,99,derecha,"lateral derecho, carrilero derecho",suplente,no convocado
facundo tomas quignon,1993-05-02,174,75,liga profesional,1,lanus,19,argentina,99,izquierda,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
franco rodrigo fragapane,1993-02-06,167,66,liga profesional,1,talleres cordoba,20,argentina,99,derecha,"mediocampista izquierdo, mediocampista central, mediocampista derecho",mediocampista izquierdo,no convocado
matias nicolas caruzzo,1984-08-15,183,76,liga profesional,1,argentinos juniors,6,argentina,99,derecha,defensor central,suplente,no convocado
juan ignacio cavallaro,1994-06-28,171,68,liga profesional,1,tigre,15,argentina,99,derecha,"mediocampista izquierdo, mediocampista ofensivo",mediocampista izquierdo,no convocado
facundo daniel monteseirin,1995-03-12,184,82,liga profesional,1,tigre,37,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
claudio daniel villagra,1996-01-02,180,73,liga profesional,1,banfield,36,argentina,99,derecha,"extremo izquierdo, delantero",suplente,no convocado
franco ezequiel bustamante,1999-03-15,167,65,liga profesional,1,tigre,18,argentina,99,derecha,"mediocampista derecho, lateral derecho",mediocampista derecho,no convocado
ezequiel alejandro rodriguez,1990-10-26,186,82,liga profesional,1,tigre,2,argentina,99,derecha,"mediocampista defensivo, mediocampista central, defensor central",mediocentro izquierdo,no convocado
diego eugenio becker,1997-11-24,169,66,liga profesional,1,tigre,32,argentina,99,izquierda,"mediocampista izquierdo, mediocampista derecho",suplente,no convocado
marco wolff,1996-12-14,190,80,liga profesional,1,tigre,12,argentina,99,derecha,arquero,suplente,no convocado
brian leonel negro,1997-09-08,182,81,liga profesional,1,patronato,6,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
marcelo agustin mino,1997-08-21,184,80,liga profesional,1,rosario central,30,argentina,99,derecha,arquero,suplente,no convocado
sebastian martin benega,1999-05-20,175,74,liga profesional,1,banfield,38,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",suplente,no convocado
facundo nicolas giacopuzzi,2001-04-26,186,78,liga profesional,1,tigre,4,argentina,99,derecha,defensor central,defensor central,no convocado
dany edjo'o,2001-12-18,165,64,liga profesional,1,banfield,35,cameroon,99,derecha,delantero,suplente,no convocado
jorge ivan bolano,1998-05-15,172,76,liga profesional,1,tigre,28,argentina,99,derecha,mediocampista derecho,suplente,no convocado
emiliano javier amor,1995-05-16,190,80,liga profesional,1,velez sarsfield,2,argentina,99,derecha,defensor central,suplente,no convocado
enzo daniel cabrera,1999-11-20,175,70,liga profesional,1,newell's old boys,25,argentina,99,derecha,"mediocampista ofensivo, mediocampista derecho",reserva,no convocado
alan javier franco,1996-10-11,183,77,liga profesional,1,independiente,2,argentina,99,derecha,defensor central,defensor central,no convocado
roman fernando martinez,1983-03-27,184,81,liga profesional,1,tigre,6,argentina,99,derecha,mediocampista central,suplente,no convocado
diego alberto morales,1986-11-29,172,69,liga profesional,1,tigre,10,argentina,99,derecha,"mediocampista ofensivo, mediocampista izquierdo",mediocampista derecho,no convocado
carlos ariel luna,1982-01-17,179,82,liga profesional,1,tigre,7,argentina,99,derecha,delantero,suplente,no convocado
tomas gustavo andrade,1996-11-16,175,76,liga profesional,1,argentinos juniors,33,argentina,99,izquierda,mediocampista ofensivo,suplente,no convocado
nestor emanuel moiraghi,1985-04-19,180,80,liga profesional,1,tigre,3,argentina,99,izquierda,defensor central,suplente,no convocado
fernando coniglio,1991-11-24,185,84,liga profesional,1,huracan,24,argentina,99,derecha,delantero,suplente,no convocado
fernando david luna,1990-01-19,175,70,liga profesional,1,patronato,14,argentina,99,izquierda,"mediocampista ofensivo, mediocampista izquierdo, mediocampista derecho",suplente,no convocado
ivo kestler,1998-06-12,181,81,liga profesional,1,tigre,39,argentina,99,derecha,delantero,suplente,no convocado
facundo emmanuel melivillo,1992-08-12,185,79,liga profesional,1,tigre,14,argentina,99,izquierda,"mediocampista izquierdo, delantero, extremo derecho",carrilero izquierdo,no convocado
pedro nicolas sansotre,1993-09-08,180,75,liga profesional,1,tigre,33,argentina,99,derecha,"lateral derecho, mediocampista izquierdo",reserva,no convocado
mauro joel carli,1986-08-19,193,91,liga profesional,1,aldosivi,2,argentina,99,derecha,defensor central,suplente,no convocado
federico costa,1988-10-08,188,89,liga profesional,1,patronato,46,argentina,99,derecha,arquero,reserva,no convocado
facundo santiago rodriguez,2000-02-26,187,80,liga profesional,1,godoy cruz,46,argentina,99,derecha,defensor central,reserva,no convocado
german ariel rivero,1992-03-17,182,83,liga profesional,1,patronato,9,argentina,99,derecha,delantero,reserva,no convocado
juan ignacio barinaga,2000-10-10,166,70,liga profesional,1,patronato,16,argentina,99,derecha,lateral derecho,reserva,no convocado
diego martin novaretti,1985-05-09,193,91,liga profesional,1,rosario central,14,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
victorio gabriel ramis,1994-07-07,181,77,liga profesional,1,godoy cruz,7,argentina,99,derecha,"delantero, mediocampista derecho, mediocampista izquierdo",suplente,no convocado
santiago david brinone,1996-12-28,190,82,liga profesional,1,patronato,11,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocampista defensivo,no convocado
leonel rivas,1999-12-04,173,67,liga profesional,1,rosario central,36,argentina,99,derecha,"mediocampista ofensivo, mediocampista derecho",reserva,no convocado
favio benjamin cabral,2001-02-05,187,78,liga profesional,1,talleres cordoba,9,argentina,99,derecha,delantero,reserva,no convocado
federico andres martinez berroa,1996-11-28,175,72,liga profesional,1,independiente,22,uruguay,99,derecha,"mediocampista ofensivo, mediocampista izquierdo, mediocampista derecho",reserva,no convocado
matias nicolas gomez,1998-08-10,170,65,liga profesional,1,gimnasia la plata,33,argentina,99,derecha,"mediocampista izquierdo, extremo izquierdo",suplente,no convocado
mauricio gabriel asenjo,1994-07-23,187,87,liga profesional,1,banfield,31,argentina,99,derecha,delantero,delantero,no convocado
jhonathan raphael ramis persincula,1989-11-06,178,77,liga profesional,1,velez sarsfield,43,uruguay,99,derecha,"delantero, mediocampista izquierdo",suplente,no convocado
marcos nahuel enrique,1999-12-30,178,76,liga profesional,1,velez sarsfield,26,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
rodrigo nicolas ramirez,2000-01-02,175,70,liga profesional,1,arsenal de sarandi,26,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
ramiro agustin balbuena chamorro,2000-02-28,176,72,liga profesional,1,arsenal de sarandi,22,argentina,99,derecha,mediocampista ofensivo,suplente,no convocado
pablo agustin palacio abaca,2000-05-18,180,75,liga profesional,1,union santa fe,45,argentina,99,derecha,mediocampista derecho,reserva,no convocado
marcos luis arturia,1998-02-08,187,76,liga profesional,1,talleres cordoba,17,argentina,99,derecha,delantero,suplente,no convocado
enzo agustin manzur,2000-09-29,169,64,liga profesional,1,godoy cruz,16,argentina,99,derecha,"mediocampista central, mediocampista derecho",reserva,no convocado
alexander nahuel barboza ullua,1995-03-16,193,70,liga profesional,1,independiente,26,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
lucas ezequiel viatri,1987-03-29,186,86,liga profesional,1,colon,9,argentina,99,derecha,delantero,suplente,no convocado
jose luis fernandez,1987-10-26,169,67,liga profesional,1,central cordoba sde,11,argentina,99,izquierda,"mediocampista izquierdo, carrilero izquierdo, lateral izquierdo",mediocampista izquierdo,no convocado
santiago sosa,1999-05-03,179,78,liga profesional,1,river plate,13,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
fabricio bautista fontanini,1990-03-30,181,80,liga profesional,1,newell's old boys,24,argentina,99,derecha,defensor central,defensor central derecho,no convocado
cristian hernan diaz,1989-05-26,167,63,liga profesional,1,central cordoba sde,26,argentina,99,derecha,"lateral derecho, lateral izquierdo",suplente,no convocado
franco gabriel ibarra,2001-04-28,175,69,liga profesional,1,argentinos juniors,22,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
luca javier andrada,2001-04-22,177,68,liga profesional,1,racing club,36,argentina,99,izquierda,mediocampista central,reserva,no convocado
rodrigo ivan gonzalez,2000-04-14,168,60,liga profesional,1,rosario central,41,argentina,99,derecha,lateral derecho,suplente,no convocado
agustin guiffrey,1997-11-03,176,69,liga profesional,1,patronato,40,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
lucas giuliano valente,1998-01-01,175,70,liga profesional,1,huracan,31,argentina,99,derecha,lateral derecho,reserva,no convocado
facundo agustin caseres,2001-05-28,178,66,liga profesional,1,velez sarsfield,21,argentina,99,derecha,mediocampista central,reserva,no convocado
santiago damian garcia correa,1990-09-14,181,80,liga profesional,1,godoy cruz,18,uruguay,99,derecha,delantero,suplente,no convocado
claudio nicolas bravo,1997-03-13,170,69,liga profesional,1,banfield,3,argentina,99,izquierda,lateral izquierdo,lateral izquierdo,no convocado
javier marcelo gandolfi,1980-12-05,176,80,liga profesional,1,talleres cordoba,3,argentina,99,derecha,defensor central,suplente,no convocado
joaquin torres,1997-01-28,167,70,liga profesional,1,newell's old boys,18,argentina,99,izquierda,mediocampista derecho,suplente,no convocado
angelo emanuel gabrielli scaroni,1992-09-23,179,77,liga profesional,1,newell's old boys,4,uruguay,99,derecha,lateral derecho,lateral derecho,no convocado
juan cruz bolado,1997-07-22,182,81,liga profesional,1,godoy cruz,25,argentina,99,derecha,arquero,suplente,no convocado
matias damian palacios,2002-05-10,168,66,liga profesional,1,san lorenzo,35,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",suplente,no convocado
franco nicolas sivetti,1998-05-30,178,77,liga profesional,1,estudiantes,27,argentina,99,derecha,"mediocampista defensivo, mediocampista central, mediocampista derecho",suplente,no convocado
jorge raul zules caicedo,1991-02-14,183,76,liga profesional,1,union santa fe,28,colombia,99,derecha,defensor central,suplente,no convocado
alan leonel bonansea,1996-05-06,191,85,liga profesional,1,rosario central,24,argentina,99,derecha,delantero,suplente,no convocado
gonzalo adrian casazza,1999-02-23,182,72,liga profesional,1,lanus,4,argentina,99,izquierda,"mediocampista central, mediocampista defensivo",reserva,no convocado
evelio ramon cardozo,2001-02-06,167,59,liga profesional,1,racing club,38,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",reserva,no convocado
exequiel dario beltramone,1999-02-09,160,60,liga profesional,1,talleres cordoba,25,argentina,99,derecha,mediocampista ofensivo,reserva,no convocado
franco raul gonzalez,1999-03-07,179,70,liga profesional,1,godoy cruz,36,argentina,99,derecha,mediocampista central,reserva,no convocado
mauro ezequiel gonzalez,1996-08-31,178,75,liga profesional,1,patronato,39,argentina,99,izquierda,mediocampista derecho,reserva,no convocado
lautaro mario nahuel lopez kaleniuk,2001-01-24,190,76,liga profesional,1,san lorenzo,13,argentina,99,derecha,arquero,suplente,no convocado
tobias donsanti,2000-05-15,176,75,liga profesional,1,newell's old boys,16,argentina,99,derecha,delantero,reserva,no convocado
sergio daniel juarez,2001-12-04,184,77,liga profesional,1,racing club,40,argentina,99,izquierda,arquero,suplente,no convocado
washington fernando camacho martinez,1986-04-08,178,73,liga profesional,1,defensa y justicia,11,uruguay,99,izquierda,"mediocampista ofensivo, mediocampista central, delantero centro",delantero derecho,no convocado
mauricio ariel caranta,1978-07-31,184,80,liga profesional,1,talleres cordoba,1,argentina,99,derecha,arquero,suplente,no convocado
saul savin salcedo zarate,1997-08-29,183,75,liga profesional,1,huracan,6,paraguay,99,derecha,defensor central,suplente,no convocado
gabriel dario carrasco,1997-03-07,175,74,liga profesional,1,lanus,37,argentina,99,derecha,"defensor central, lateral derecho",suplente,no convocado
fernando omar barrientos,1991-11-17,174,70,liga profesional,1,lanus,28,argentina,99,derecha,mediocampista central,reserva,no convocado
ramon gines arias quinteros,1992-07-27,180,84,liga profesional,1,san lorenzo,21,uruguay,99,derecha,defensor central,suplente,no convocado
ivan ricardo ramirez,1990-02-23,170,67,liga profesional,1,central cordoba sde,27,argentina,99,izquierda,"mediocampista defensivo, mediocampista central",reserva,no convocado
rolando valentin ortiz correa,2002-08-19,185,75,liga profesional,1,estudiantes,35,paraguay,99,derecha,defensor central,suplente,no convocado
leandro vella,1996-11-09,176,65,liga profesional,1,central cordoba sde,10,argentina,99,derecha,mediocampista derecho,reserva,no convocado
yoel gustavo juarez,2002-03-20,181,76,liga profesional,1,aldosivi,39,argentina,99,izquierda,extremo izquierdo,reserva,no convocado
gonzalo ariel gomez,1998-02-23,170,65,liga profesional,1,arsenal de sarandi,33,argentina,99,derecha,mediocampista derecho,reserva,no convocado
patricio ivan monti,1998-01-15,178,73,liga profesional,1,gimnasia la plata,34,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
augusto jorge mateo solari,1992-01-03,176,70,liga profesional,1,racing club,18,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo, extremo derecho",suplente,no convocado
francisco david fydriszewski,1993-04-13,186,78,liga profesional,1,newell's old boys,9,argentina,99,derecha,delantero,suplente,no convocado
leonel caffaratti,1990-01-31,182,81,liga profesional,1,central cordoba sde,17,argentina,99,derecha,arquero,suplente,no convocado
ignacio nicolas huguenet,1998-03-05,187,78,liga profesional,1,newell's old boys,30,argentina,99,derecha,delantero,reserva,no convocado
agustin ignacio aleo,1998-05-20,176,72,liga profesional,1,argentinos juniors,3,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
matko mijael miljevic,2001-05-09,178,72,liga profesional,1,argentinos juniors,42,united states,99,derecha,"extremo izquierdo, mediocampista izquierdo, mediocampista ofensivo",suplente,no convocado
pablo javier palacios alvarenga,1988-06-22,190,78,liga profesional,1,central cordoba sde,33,paraguay,99,derecha,delantero,suplente,no convocado
jeronimo rodriguez,1998-02-15,167,60,liga profesional,1,rosario central,37,argentina,99,izquierda,"extremo izquierdo, delantero",reserva,no convocado
mauro alejandro barraza,1996-05-15,177,72,liga profesional,1,central cordoba sde,7,argentina,99,derecha,mediocampista central,reserva,no convocado
felipe jorge rodriguez valla,1990-05-26,180,70,liga profesional,1,aldosivi,11,uruguay,99,izquierda,"mediocampista izquierdo, mediocampista central, mediocampista derecho",suplente,no convocado
rodrigo sebastian arciero,1993-03-12,181,77,liga profesional,1,banfield,4,argentina,99,derecha,lateral derecho,suplente,no convocado
joel brandon lopez pissano,1997-01-06,180,68,liga profesional,1,rosario central,11,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central",suplente,no convocado
ariel matias garcia,1991-10-22,174,65,liga profesional,1,gimnasia la plata,10,argentina,99,izquierda,"mediocampista izquierdo, mediocampista ofensivo",mediocampista izquierdo,no convocado
aldo andres araujo,1992-01-03,164,60,liga profesional,1,talleres cordoba,30,argentina,99,derecha,"extremo derecho, extremo izquierdo",suplente,no convocado
juan ignacio vieyra,1992-04-20,175,69,liga profesional,1,central cordoba sde,32,argentina,99,derecha,mediocampista ofensivo,suplente,no convocado
matias jose pato rios,1992-09-04,177,70,liga profesional,1,central cordoba sde,31,argentina,99,derecha,delantero,reserva,no convocado
jonathan leonardo farias,1998-05-27,178,83,liga profesional,1,defensa y justicia,8,argentina,99,derecha,mediocampista ofensivo,reserva,no convocado
jesus armando vargas rojas,1999-08-26,168,68,liga profesional,1,gimnasia la plata,13,venezuela,99,derecha,"delantero, mediocampista derecho",suplente,no convocado
pedro david ramirez,2000-04-04,175,76,liga profesional,1,defensa y justicia,14,argentina,99,derecha,"lateral derecho, carrilero derecho",reserva,no convocado
martin nicolas benitez,1994-06-17,173,72,liga profesional,1,independiente,10,argentina,99,derecha,"mediocampista ofensivo, mediocampista derecho, extremo derecho",suplente,no convocado
edwar manuel lopez gomez,1995-03-09,179,77,liga profesional,1,argentinos juniors,23,colombia,99,derecha,"delantero, extremo izquierdo, extremo derecho",mediocampista derecho,no convocado
alberto sebastian assis silva,1993-03-04,171,75,liga profesional,1,union santa fe,15,uruguay,99,derecha,mediocampista defensivo,mediocentro izquierdo,no convocado
fernando gaston elizari sedano,1991-04-05,172,72,liga profesional,1,union santa fe,18,argentina,99,derecha,"mediocampista ofensivo, delantero",suplente,no convocado
bautista merlini,1995-07-04,179,71,liga profesional,1,san lorenzo,36,argentina,99,derecha,"extremo izquierdo, mediocampista izquierdo, mediocampista derecho",reserva,no convocado
danilo fabian ortiz soto,1992-07-28,188,86,liga profesional,1,godoy cruz,4,paraguay,99,izquierda,defensor central,suplente,no convocado
ramiro julian caseres,1994-01-09,168,69,liga profesional,1,velez sarsfield,16,argentina,99,derecha,"delantero, extremo derecho, extremo izquierdo",suplente,no convocado
facundo matias barboza,1996-07-31,171,72,liga profesional,1,argentinos juniors,3,argentina,99,derecha,"mediocampista derecho, mediocampista central",suplente,no convocado
lucas emanuel rios,1998-03-08,176,75,liga profesional,1,union santa fe,8,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
nazareno daniel bazan vera,1999-03-08,184,74,liga profesional,1,velez sarsfield,6,argentina,99,derecha,delantero,reserva,no convocado
alfredo pussetto,1998-10-02,174,72,liga profesional,1,union santa fe,16,argentina,99,derecha,"delantero, extremo izquierdo, extremo derecho",reserva,no convocado
lisandro vladimir tablada,2002-06-16,175,74,liga profesional,1,union santa fe,20,argentina,99,derecha,delantero,reserva,no convocado
hernan de la fuente,1997-01-07,178,73,liga profesional,1,velez sarsfield,4,argentina,99,derecha,lateral derecho,suplente,no convocado
nicolas gaston avellaneda,1993-02-24,191,83,liga profesional,1,defensa y justicia,17,argentina,99,derecha,arquero,suplente,no convocado
javier alejandro mascherano,1984-06-08,174,73,liga profesional,1,estudiantes,14,argentina,99,derecha,"mediocampista defensivo, mediocampista central, defensor central",mediocampista defensivo izquierdo,no convocado
juan eduardo fuentes jimenez,1995-03-21,175,72,liga profesional,1,estudiantes,2,chile,99,derecha,"defensor central, mediocampista central, mediocampista defensivo",defensor central derecho,no convocado
fernando ruben gago,1986-04-10,177,76,liga profesional,1,velez sarsfield,6,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
reinaldo lenis montes,1992-07-20,180,70,liga profesional,1,banfield,23,colombia,99,derecha,"mediocampista derecho, mediocampista izquierdo",mediocampista derecho,no convocado
pablo cesar leonardo velazquez centurion,1987-03-12,191,86,liga profesional,1,banfield,25,paraguay,99,izquierda,delantero,suplente,no convocado
andres lioi,1997-03-07,175,68,liga profesional,1,rosario central,24,argentina,99,derecha,mediocampista derecho,reserva,no convocado
lucas javier algozino,1995-09-29,172,69,liga profesional,1,union santa fe,32,argentina,99,derecha,mediocampista derecho,suplente,no convocado
jonathan brian david fleita,1995-01-20,182,78,liga profesional,1,union santa fe,27,argentina,99,derecha,defensor central,reserva,no convocado
mateo hernandez,1998-10-05,173,66,liga profesional,1,colon,21,argentina,99,derecha,mediocampista central,suplente,no convocado
agustin ramon casco,1997-01-28,172,72,liga profesional,1,huracan,17,argentina,99,derecha,mediocampista izquierdo,suplente,no convocado
juan cruz zurbriggen,2000-05-12,184,79,liga profesional,1,colon,26,argentina,99,derecha,delantero,suplente,no convocado
marcelo freites,1998-07-12,175,75,liga profesional,1,godoy cruz,17,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
federico matias zaracho,1998-03-10,171,65,liga profesional,1,racing club,28,argentina,99,derecha,"mediocampista central, mediocampista ofensivo, mediocampista derecho",mediocentro derecho,no convocado
rafael garcia casanova,1989-01-16,183,82,liga profesional,1,colon,62,uruguay,99,derecha,defensor central,defensor central derecho,no convocado
cristian marcelo gonzalez tassano,1996-07-23,184,80,liga profesional,1,rosario central,2,uruguay,99,derecha,defensor central,suplente,no convocado
agustin doffo,1995-05-25,179,74,liga profesional,1,colon,37,argentina,99,izquierda,"mediocampista ofensivo, mediocampista derecho",suplente,no convocado
juan ezequiel da rosa,1998-01-11,171,69,liga profesional,1,independiente,12,argentina,99,derecha,delantero,reserva,no convocado
lucas ezequiel aguero,1997-04-28,178,73,liga profesional,1,godoy cruz,34,argentina,99,derecha,delantero,reserva,no convocado
martin nicolas peralta,1997-04-08,180,74,liga profesional,1,atletico tucuman,29,argentina,99,derecha,delantero,suplente,no convocado
jonatan nahuel benedetti,1997-03-26,174,70,liga profesional,1,aldosivi,14,argentina,99,derecha,extremo izquierdo,suplente,no convocado
lucas martinez quarta,1996-05-10,183,78,liga profesional,1,river plate,28,argentina,99,derecha,defensor central,defensor central derecho,no convocado
lucas gaston robertone,1997-03-18,173,70,liga profesional,1,velez sarsfield,16,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",mediocentro derecho,no convocado
dayro mauricio moreno galindo,1985-09-16,178,83,liga profesional,1,talleres cordoba,17,colombia,99,derecha,delantero,delantero,no convocado
juan francisco brunetta,1997-05-12,175,68,liga profesional,1,godoy cruz,26,argentina,99,derecha,"mediocampista izquierdo, delantero, mediocampista ofensivo",mediocampista ofensivo,no convocado
catriel ignacio sanchez,1998-07-17,186,80,liga profesional,1,talleres cordoba,46,argentina,99,derecha,delantero,reserva,no convocado
marcos sebastian rouzies,1997-05-22,182,72,liga profesional,1,godoy cruz,48,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
ivan alexis tierno,1999-11-12,169,61,liga profesional,1,huracan,15,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
braian ezequiel cufre,1996-12-15,179,82,liga profesional,1,velez sarsfield,3,argentina,99,izquierda,"lateral izquierdo, carrilero izquierdo",lateral izquierdo,no convocado
lautaro rodrigo valenti,1999-01-14,188,80,liga profesional,1,club atletico lanus,30,argentina,99,izquierda,defensor central,defensor central izquierdo,no convocado
cecilio andres dominguez ruiz,1994-08-11,179,70,liga profesional,1,independiente,11,paraguay,99,derecha,"mediocampista izquierdo, extremo izquierdo",suplente,no convocado
damian marcelino moreno,1994-06-25,172,65,liga profesional,1,lanus,10,argentina,99,derecha,"mediocampista central, extremo derecho, extremo izquierdo",mediocentro izquierdo,no convocado
jeremias conan ledesma,1993-02-13,185,83,liga profesional,1,rosario central,1,argentina,99,derecha,arquero,arquero,no convocado
emanuel reynoso,1995-11-16,176,67,liga profesional,1,boca juniors,30,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central, mediocampista ofensivo",reserva,no convocado
joaquin arzura,1993-05-18,176,71,liga profesional,1,river plate,34,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
fernando vicente gaibor orellana,1991-10-08,178,75,liga profesional,1,independiente,43,ecuador,99,derecha,"mediocampista central, mediocampista ofensivo, mediocampista defensivo",suplente,no convocado
